Dates,Unnamed: 0_y,Month,DatePublishKey,DateReferenceDataKey,Year,isLatest,ProductName,LocationName,Area Harvested_Million Acres,Area Planted_Million Acres,Average Farm Price_US Dollars/Bushel,Begining Stocks_Million Bushels,Crushing_Million Bushels,Ending Stocks_Million Bushels,Exports_Million Bushels,Imports_Million Bushels,Production_Million Bushels,Residual Use_Million Bushels,Seed Use_Million Bushels,Total demand_Million Bushels,Total Supply_Million Bushels,Yield_Bushels/Acre,Date
5/6/1996,,,,,,,,,,,,,,,,,,,,,,,
6/6/1996,,,,,,,,,,,,,,,,,,,,,,,
7/6/1996,,,,,,,,,,,,,,,,,,,,,,,
10/6/1996,,,,,,,,,,,,,,,,,,,,,,,
11/6/1996,,,,,,,,,,,,,,,,,,,,,,,
12/6/1996,,,,,,,,,,,,,,,,,,,,,,,
13/6/1996,,,,,,,,,,,,,,,,,,,,,,,
14/6/1996,,,,,,,,,,,,,,,,,,,,,,,
17/6/1996,,,,,,,,,,,,,,,,,,,,,,,
18/6/1996,,,,,,,,,,,,,,,,,,,,,,,
19/6/1996,,,,,,,,,,,,,,,,,,,,,,,
20/6/1996,,,,,,,,,,,,,,,,,,,,,,,
21/6/1996,,,,,,,,,,,,,,,,,,,,,,,
24/6/1996,,,,,,,,,,,,,,,,,,,,,,,
25/6/1996,,,,,,,,,,,,,,,,,,,,,,,
26/6/1996,,,,,,,,,,,,,,,,,,,,,,,
27/6/1996,,,,,,,,,,,,,,,,,,,,,,,
28/6/1996,,,,,,,,,,,,,,,,,,,,,,,
1/7/1996,,,,,,,,,,,,,,,,,,,,,,,
2/7/1996,,,,,,,,,,,,,,,,,,,,,,,
3/7/1996,,,,,,,,,,,,,,,,,,,,,,,
4/7/1996,,,,,,,,,,,,,,,,,,,,,,,
5/7/1996,,,,,,,,,,,,,,,,,,,,,,,
8/7/1996,,,,,,,,,,,,,,,,,,,,,,,
9/7/1996,,,,,,,,,,,,,,,,,,,,,,,
10/7/1996,,,,,,,,,,,,,,,,,,,,,,,
11/7/1996,,,,,,,,,,,,,,,,,,,,,,,
12/7/1996,,,,,,,,,,,,,,,,,,,,,,,
15/7/1996,,,,,,,,,,,,,,,,,,,,,,,
16/7/1996,,,,,,,,,,,,,,,,,,,,,,,
17/7/1996,,,,,,,,,,,,,,,,,,,,,,,
18/7/1996,,,,,,,,,,,,,,,,,,,,,,,
19/7/1996,,,,,,,,,,,,,,,,,,,,,,,
22/7/1996,,,,,,,,,,,,,,,,,,,,,,,
23/7/1996,,,,,,,,,,,,,,,,,,,,,,,
24/7/1996,,,,,,,,,,,,,,,,,,,,,,,
25/7/1996,,,,,,,,,,,,,,,,,,,,,,,
26/7/1996,,,,,,,,,,,,,,,,,,,,,,,
29/7/1996,,,,,,,,,,,,,,,,,,,,,,,
30/7/1996,,,,,,,,,,,,,,,,,,,,,,,
31/7/1996,,,,,,,,,,,,,,,,,,,,,,,
1/8/1996,,,,,,,,,,,,,,,,,,,,,,,
2/8/1996,,,,,,,,,,,,,,,,,,,,,,,
5/8/1996,,,,,,,,,,,,,,,,,,,,,,,
6/8/1996,,,,,,,,,,,,,,,,,,,,,,,
7/8/1996,,,,,,,,,,,,,,,,,,,,,,,
8/8/1996,,,,,,,,,,,,,,,,,,,,,,,
9/8/1996,,,,,,,,,,,,,,,,,,,,,,,
12/8/1996,,,,,,,,,,,,,,,,,,,,,,,
13/8/1996,,,,,,,,,,,,,,,,,,,,,,,
14/8/1996,,,,,,,,,,,,,,,,,,,,,,,
15/8/1996,,,,,,,,,,,,,,,,,,,,,,,
16/8/1996,,,,,,,,,,,,,,,,,,,,,,,
19/8/1996,,,,,,,,,,,,,,,,,,,,,,,
20/8/1996,,,,,,,,,,,,,,,,,,,,,,,
21/8/1996,,,,,,,,,,,,,,,,,,,,,,,
22/8/1996,,,,,,,,,,,,,,,,,,,,,,,
23/8/1996,,,,,,,,,,,,,,,,,,,,,,,
26/8/1996,,,,,,,,,,,,,,,,,,,,,,,
27/8/1996,,,,,,,,,,,,,,,,,,,,,,,
28/8/1996,,,,,,,,,,,,,,,,,,,,,,,
29/8/1996,,,,,,,,,,,,,,,,,,,,,,,
30/8/1996,,,,,,,,,,,,,,,,,,,,,,,
2/9/1996,,,,,,,,,,,,,,,,,,,,,,,
3/9/1996,,,,,,,,,,,,,,,,,,,,,,,
4/9/1996,,,,,,,,,,,,,,,,,,,,,,,
5/9/1996,,,,,,,,,,,,,,,,,,,,,,,
6/9/1996,,,,,,,,,,,,,,,,,,,,,,,
9/9/1996,,,,,,,,,,,,,,,,,,,,,,,
10/9/1996,,,,,,,,,,,,,,,,,,,,,,,
11/9/1996,,,,,,,,,,,,,,,,,,,,,,,
12/9/1996,,,,,,,,,,,,,,,,,,,,,,,
13/9/1996,,,,,,,,,,,,,,,,,,,,,,,
16/9/1996,,,,,,,,,,,,,,,,,,,,,,,
17/9/1996,,,,,,,,,,,,,,,,,,,,,,,
18/9/1996,,,,,,,,,,,,,,,,,,,,,,,
19/9/1996,,,,,,,,,,,,,,,,,,,,,,,
20/9/1996,,,,,,,,,,,,,,,,,,,,,,,
23/9/1996,,,,,,,,,,,,,,,,,,,,,,,
24/9/1996,,,,,,,,,,,,,,,,,,,,,,,
25/9/1996,,,,,,,,,,,,,,,,,,,,,,,
26/9/1996,,,,,,,,,,,,,,,,,,,,,,,
27/9/1996,,,,,,,,,,,,,,,,,,,,,,,
30/9/1996,,,,,,,,,,,,,,,,,,,,,,,
1/10/1996,,,,,,,,,,,,,,,,,,,,,,,
2/10/1996,,,,,,,,,,,,,,,,,,,,,,,
3/10/1996,,,,,,,,,,,,,,,,,,,,,,,
4/10/1996,,,,,,,,,,,,,,,,,,,,,,,
7/10/1996,,,,,,,,,,,,,,,,,,,,,,,
8/10/1996,,,,,,,,,,,,,,,,,,,,,,,
9/10/1996,,,,,,,,,,,,,,,,,,,,,,,
10/10/1996,,,,,,,,,,,,,,,,,,,,,,,
11/10/1996,,,,,,,,,,,,,,,,,,,,,,,
14/10/1996,,,,,,,,,,,,,,,,,,,,,,,
15/10/1996,,,,,,,,,,,,,,,,,,,,,,,
16/10/1996,,,,,,,,,,,,,,,,,,,,,,,
17/10/1996,,,,,,,,,,,,,,,,,,,,,,,
18/10/1996,,,,,,,,,,,,,,,,,,,,,,,
21/10/1996,,,,,,,,,,,,,,,,,,,,,,,
22/10/1996,,,,,,,,,,,,,,,,,,,,,,,
23/10/1996,,,,,,,,,,,,,,,,,,,,,,,
24/10/1996,,,,,,,,,,,,,,,,,,,,,,,
25/10/1996,,,,,,,,,,,,,,,,,,,,,,,
28/10/1996,,,,,,,,,,,,,,,,,,,,,,,
29/10/1996,,,,,,,,,,,,,,,,,,,,,,,
30/10/1996,,,,,,,,,,,,,,,,,,,,,,,
31/10/1996,,,,,,,,,,,,,,,,,,,,,,,
1/11/1996,,,,,,,,,,,,,,,,,,,,,,,
4/11/1996,,,,,,,,,,,,,,,,,,,,,,,
5/11/1996,,,,,,,,,,,,,,,,,,,,,,,
6/11/1996,,,,,,,,,,,,,,,,,,,,,,,
7/11/1996,,,,,,,,,,,,,,,,,,,,,,,
8/11/1996,,,,,,,,,,,,,,,,,,,,,,,
11/11/1996,,,,,,,,,,,,,,,,,,,,,,,
12/11/1996,,,,,,,,,,,,,,,,,,,,,,,
13/11/1996,,,,,,,,,,,,,,,,,,,,,,,
14/11/1996,,,,,,,,,,,,,,,,,,,,,,,
15/11/1996,,,,,,,,,,,,,,,,,,,,,,,
18/11/1996,,,,,,,,,,,,,,,,,,,,,,,
19/11/1996,,,,,,,,,,,,,,,,,,,,,,,
20/11/1996,,,,,,,,,,,,,,,,,,,,,,,
21/11/1996,,,,,,,,,,,,,,,,,,,,,,,
22/11/1996,,,,,,,,,,,,,,,,,,,,,,,
25/11/1996,,,,,,,,,,,,,,,,,,,,,,,
26/11/1996,,,,,,,,,,,,,,,,,,,,,,,
27/11/1996,,,,,,,,,,,,,,,,,,,,,,,
28/11/1996,,,,,,,,,,,,,,,,,,,,,,,
29/11/1996,,,,,,,,,,,,,,,,,,,,,,,
2/12/1996,,,,,,,,,,,,,,,,,,,,,,,
3/12/1996,,,,,,,,,,,,,,,,,,,,,,,
4/12/1996,,,,,,,,,,,,,,,,,,,,,,,
5/12/1996,,,,,,,,,,,,,,,,,,,,,,,
6/12/1996,,,,,,,,,,,,,,,,,,,,,,,
9/12/1996,,,,,,,,,,,,,,,,,,,,,,,
10/12/1996,,,,,,,,,,,,,,,,,,,,,,,
11/12/1996,,,,,,,,,,,,,,,,,,,,,,,
12/12/1996,,,,,,,,,,,,,,,,,,,,,,,
13/12/1996,,,,,,,,,,,,,,,,,,,,,,,
16/12/1996,,,,,,,,,,,,,,,,,,,,,,,
17/12/1996,,,,,,,,,,,,,,,,,,,,,,,
18/12/1996,,,,,,,,,,,,,,,,,,,,,,,
19/12/1996,,,,,,,,,,,,,,,,,,,,,,,
20/12/1996,,,,,,,,,,,,,,,,,,,,,,,
23/12/1996,,,,,,,,,,,,,,,,,,,,,,,
24/12/1996,,,,,,,,,,,,,,,,,,,,,,,
25/12/1996,,,,,,,,,,,,,,,,,,,,,,,
26/12/1996,,,,,,,,,,,,,,,,,,,,,,,
27/12/1996,,,,,,,,,,,,,,,,,,,,,,,
30/12/1996,,,,,,,,,,,,,,,,,,,,,,,
31/12/1996,,,,,,,,,,,,,,,,,,,,,,,
2/1/1997,,,,,,,,,,,,,,,,,,,,,,,
3/1/1997,,,,,,,,,,,,,,,,,,,,,,,
6/1/1997,,,,,,,,,,,,,,,,,,,,,,,
7/1/1997,,,,,,,,,,,,,,,,,,,,,,,
8/1/1997,,,,,,,,,,,,,,,,,,,,,,,
9/1/1997,,,,,,,,,,,,,,,,,,,,,,,
10/1/1997,,,,,,,,,,,,,,,,,,,,,,,
13/1/1997,,,,,,,,,,,,,,,,,,,,,,,
14/1/1997,,,,,,,,,,,,,,,,,,,,,,,
15/1/1997,,,,,,,,,,,,,,,,,,,,,,,
16/1/1997,,,,,,,,,,,,,,,,,,,,,,,
17/1/1997,,,,,,,,,,,,,,,,,,,,,,,
20/1/1997,,,,,,,,,,,,,,,,,,,,,,,
21/1/1997,,,,,,,,,,,,,,,,,,,,,,,
22/1/1997,,,,,,,,,,,,,,,,,,,,,,,
23/1/1997,,,,,,,,,,,,,,,,,,,,,,,
24/1/1997,,,,,,,,,,,,,,,,,,,,,,,
27/1/1997,,,,,,,,,,,,,,,,,,,,,,,
28/1/1997,,,,,,,,,,,,,,,,,,,,,,,
29/1/1997,,,,,,,,,,,,,,,,,,,,,,,
30/1/1997,,,,,,,,,,,,,,,,,,,,,,,
31/1/1997,,,,,,,,,,,,,,,,,,,,,,,
3/2/1997,,,,,,,,,,,,,,,,,,,,,,,
4/2/1997,,,,,,,,,,,,,,,,,,,,,,,
5/2/1997,,,,,,,,,,,,,,,,,,,,,,,
6/2/1997,,,,,,,,,,,,,,,,,,,,,,,
7/2/1997,,,,,,,,,,,,,,,,,,,,,,,
10/2/1997,,,,,,,,,,,,,,,,,,,,,,,
11/2/1997,,,,,,,,,,,,,,,,,,,,,,,
12/2/1997,,,,,,,,,,,,,,,,,,,,,,,
13/2/1997,,,,,,,,,,,,,,,,,,,,,,,
14/2/1997,,,,,,,,,,,,,,,,,,,,,,,
17/2/1997,,,,,,,,,,,,,,,,,,,,,,,
18/2/1997,,,,,,,,,,,,,,,,,,,,,,,
19/2/1997,,,,,,,,,,,,,,,,,,,,,,,
20/2/1997,,,,,,,,,,,,,,,,,,,,,,,
21/2/1997,,,,,,,,,,,,,,,,,,,,,,,
24/2/1997,,,,,,,,,,,,,,,,,,,,,,,
25/2/1997,,,,,,,,,,,,,,,,,,,,,,,
26/2/1997,,,,,,,,,,,,,,,,,,,,,,,
27/2/1997,,,,,,,,,,,,,,,,,,,,,,,
28/2/1997,,,,,,,,,,,,,,,,,,,,,,,
3/3/1997,,,,,,,,,,,,,,,,,,,,,,,
4/3/1997,,,,,,,,,,,,,,,,,,,,,,,
5/3/1997,,,,,,,,,,,,,,,,,,,,,,,
6/3/1997,,,,,,,,,,,,,,,,,,,,,,,
7/3/1997,,,,,,,,,,,,,,,,,,,,,,,
10/3/1997,,,,,,,,,,,,,,,,,,,,,,,
11/3/1997,,,,,,,,,,,,,,,,,,,,,,,
12/3/1997,,,,,,,,,,,,,,,,,,,,,,,
13/3/1997,,,,,,,,,,,,,,,,,,,,,,,
14/3/1997,,,,,,,,,,,,,,,,,,,,,,,
17/3/1997,,,,,,,,,,,,,,,,,,,,,,,
18/3/1997,,,,,,,,,,,,,,,,,,,,,,,
19/3/1997,,,,,,,,,,,,,,,,,,,,,,,
20/3/1997,,,,,,,,,,,,,,,,,,,,,,,
21/3/1997,,,,,,,,,,,,,,,,,,,,,,,
24/3/1997,,,,,,,,,,,,,,,,,,,,,,,
25/3/1997,,,,,,,,,,,,,,,,,,,,,,,
26/3/1997,,,,,,,,,,,,,,,,,,,,,,,
27/3/1997,,,,,,,,,,,,,,,,,,,,,,,
28/3/1997,,,,,,,,,,,,,,,,,,,,,,,
31/3/1997,,,,,,,,,,,,,,,,,,,,,,,
1/4/1997,,,,,,,,,,,,,,,,,,,,,,,
2/4/1997,,,,,,,,,,,,,,,,,,,,,,,
3/4/1997,,,,,,,,,,,,,,,,,,,,,,,
4/4/1997,,,,,,,,,,,,,,,,,,,,,,,
7/4/1997,,,,,,,,,,,,,,,,,,,,,,,
8/4/1997,,,,,,,,,,,,,,,,,,,,,,,
9/4/1997,,,,,,,,,,,,,,,,,,,,,,,
10/4/1997,,,,,,,,,,,,,,,,,,,,,,,
11/4/1997,,,,,,,,,,,,,,,,,,,,,,,
14/4/1997,,,,,,,,,,,,,,,,,,,,,,,
15/4/1997,,,,,,,,,,,,,,,,,,,,,,,
16/4/1997,,,,,,,,,,,,,,,,,,,,,,,
17/4/1997,,,,,,,,,,,,,,,,,,,,,,,
18/4/1997,,,,,,,,,,,,,,,,,,,,,,,
21/4/1997,,,,,,,,,,,,,,,,,,,,,,,
22/4/1997,,,,,,,,,,,,,,,,,,,,,,,
23/4/1997,,,,,,,,,,,,,,,,,,,,,,,
24/4/1997,,,,,,,,,,,,,,,,,,,,,,,
25/4/1997,,,,,,,,,,,,,,,,,,,,,,,
28/4/1997,,,,,,,,,,,,,,,,,,,,,,,
29/4/1997,,,,,,,,,,,,,,,,,,,,,,,
30/4/1997,,,,,,,,,,,,,,,,,,,,,,,
1/5/1997,,,,,,,,,,,,,,,,,,,,,,,
2/5/1997,,,,,,,,,,,,,,,,,,,,,,,
5/5/1997,,,,,,,,,,,,,,,,,,,,,,,
6/5/1997,,,,,,,,,,,,,,,,,,,,,,,
7/5/1997,,,,,,,,,,,,,,,,,,,,,,,
8/5/1997,,,,,,,,,,,,,,,,,,,,,,,
9/5/1997,,,,,,,,,,,,,,,,,,,,,,,
12/5/1997,,,,,,,,,,,,,,,,,,,,,,,
13/5/1997,,,,,,,,,,,,,,,,,,,,,,,
14/5/1997,,,,,,,,,,,,,,,,,,,,,,,
15/5/1997,,,,,,,,,,,,,,,,,,,,,,,
16/5/1997,,,,,,,,,,,,,,,,,,,,,,,
19/5/1997,,,,,,,,,,,,,,,,,,,,,,,
20/5/1997,,,,,,,,,,,,,,,,,,,,,,,
21/5/1997,,,,,,,,,,,,,,,,,,,,,,,
22/5/1997,,,,,,,,,,,,,,,,,,,,,,,
23/5/1997,,,,,,,,,,,,,,,,,,,,,,,
26/5/1997,,,,,,,,,,,,,,,,,,,,,,,
27/5/1997,,,,,,,,,,,,,,,,,,,,,,,
28/5/1997,,,,,,,,,,,,,,,,,,,,,,,
29/5/1997,,,,,,,,,,,,,,,,,,,,,,,
30/5/1997,,,,,,,,,,,,,,,,,,,,,,,
2/6/1997,,,,,,,,,,,,,,,,,,,,,,,
3/6/1997,,,,,,,,,,,,,,,,,,,,,,,
4/6/1997,,,,,,,,,,,,,,,,,,,,,,,
5/6/1997,,,,,,,,,,,,,,,,,,,,,,,
6/6/1997,,,,,,,,,,,,,,,,,,,,,,,
9/6/1997,,,,,,,,,,,,,,,,,,,,,,,
10/6/1997,,,,,,,,,,,,,,,,,,,,,,,
11/6/1997,,,,,,,,,,,,,,,,,,,,,,,
12/6/1997,,,,,,,,,,,,,,,,,,,,,,,
13/6/1997,,,,,,,,,,,,,,,,,,,,,,,
16/6/1997,,,,,,,,,,,,,,,,,,,,,,,
17/6/1997,,,,,,,,,,,,,,,,,,,,,,,
18/6/1997,,,,,,,,,,,,,,,,,,,,,,,
19/6/1997,,,,,,,,,,,,,,,,,,,,,,,
20/6/1997,,,,,,,,,,,,,,,,,,,,,,,
23/6/1997,,,,,,,,,,,,,,,,,,,,,,,
24/6/1997,,,,,,,,,,,,,,,,,,,,,,,
25/6/1997,,,,,,,,,,,,,,,,,,,,,,,
26/6/1997,,,,,,,,,,,,,,,,,,,,,,,
27/6/1997,,,,,,,,,,,,,,,,,,,,,,,
30/6/1997,,,,,,,,,,,,,,,,,,,,,,,
1/7/1997,,,,,,,,,,,,,,,,,,,,,,,
2/7/1997,,,,,,,,,,,,,,,,,,,,,,,
3/7/1997,,,,,,,,,,,,,,,,,,,,,,,
4/7/1997,,,,,,,,,,,,,,,,,,,,,,,
7/7/1997,,,,,,,,,,,,,,,,,,,,,,,
8/7/1997,,,,,,,,,,,,,,,,,,,,,,,
9/7/1997,,,,,,,,,,,,,,,,,,,,,,,
10/7/1997,,,,,,,,,,,,,,,,,,,,,,,
11/7/1997,,,,,,,,,,,,,,,,,,,,,,,
14/7/1997,,,,,,,,,,,,,,,,,,,,,,,
15/7/1997,,,,,,,,,,,,,,,,,,,,,,,
16/7/1997,,,,,,,,,,,,,,,,,,,,,,,
17/7/1997,,,,,,,,,,,,,,,,,,,,,,,
18/7/1997,,,,,,,,,,,,,,,,,,,,,,,
21/7/1997,,,,,,,,,,,,,,,,,,,,,,,
22/7/1997,,,,,,,,,,,,,,,,,,,,,,,
23/7/1997,,,,,,,,,,,,,,,,,,,,,,,
24/7/1997,,,,,,,,,,,,,,,,,,,,,,,
25/7/1997,,,,,,,,,,,,,,,,,,,,,,,
28/7/1997,,,,,,,,,,,,,,,,,,,,,,,
29/7/1997,,,,,,,,,,,,,,,,,,,,,,,
30/7/1997,,,,,,,,,,,,,,,,,,,,,,,
31/7/1997,,,,,,,,,,,,,,,,,,,,,,,
1/8/1997,,,,,,,,,,,,,,,,,,,,,,,
4/8/1997,,,,,,,,,,,,,,,,,,,,,,,
5/8/1997,,,,,,,,,,,,,,,,,,,,,,,
6/8/1997,,,,,,,,,,,,,,,,,,,,,,,
7/8/1997,,,,,,,,,,,,,,,,,,,,,,,
8/8/1997,,,,,,,,,,,,,,,,,,,,,,,
11/8/1997,,,,,,,,,,,,,,,,,,,,,,,
12/8/1997,,,,,,,,,,,,,,,,,,,,,,,
13/8/1997,,,,,,,,,,,,,,,,,,,,,,,
14/8/1997,,,,,,,,,,,,,,,,,,,,,,,
15/8/1997,,,,,,,,,,,,,,,,,,,,,,,
18/8/1997,,,,,,,,,,,,,,,,,,,,,,,
19/8/1997,,,,,,,,,,,,,,,,,,,,,,,
20/8/1997,,,,,,,,,,,,,,,,,,,,,,,
21/8/1997,,,,,,,,,,,,,,,,,,,,,,,
22/8/1997,,,,,,,,,,,,,,,,,,,,,,,
25/8/1997,,,,,,,,,,,,,,,,,,,,,,,
26/8/1997,,,,,,,,,,,,,,,,,,,,,,,
27/8/1997,,,,,,,,,,,,,,,,,,,,,,,
28/8/1997,,,,,,,,,,,,,,,,,,,,,,,
29/8/1997,,,,,,,,,,,,,,,,,,,,,,,
1/9/1997,,,,,,,,,,,,,,,,,,,,,,,
2/9/1997,,,,,,,,,,,,,,,,,,,,,,,
3/9/1997,,,,,,,,,,,,,,,,,,,,,,,
4/9/1997,,,,,,,,,,,,,,,,,,,,,,,
5/9/1997,,,,,,,,,,,,,,,,,,,,,,,
8/9/1997,,,,,,,,,,,,,,,,,,,,,,,
9/9/1997,,,,,,,,,,,,,,,,,,,,,,,
10/9/1997,,,,,,,,,,,,,,,,,,,,,,,
11/9/1997,,,,,,,,,,,,,,,,,,,,,,,
12/9/1997,,,,,,,,,,,,,,,,,,,,,,,
15/9/1997,,,,,,,,,,,,,,,,,,,,,,,
16/9/1997,,,,,,,,,,,,,,,,,,,,,,,
17/9/1997,,,,,,,,,,,,,,,,,,,,,,,
18/9/1997,,,,,,,,,,,,,,,,,,,,,,,
19/9/1997,,,,,,,,,,,,,,,,,,,,,,,
22/9/1997,,,,,,,,,,,,,,,,,,,,,,,
23/9/1997,,,,,,,,,,,,,,,,,,,,,,,
24/9/1997,,,,,,,,,,,,,,,,,,,,,,,
25/9/1997,,,,,,,,,,,,,,,,,,,,,,,
26/9/1997,,,,,,,,,,,,,,,,,,,,,,,
29/9/1997,,,,,,,,,,,,,,,,,,,,,,,
30/9/1997,,,,,,,,,,,,,,,,,,,,,,,
1/10/1997,,,,,,,,,,,,,,,,,,,,,,,
2/10/1997,,,,,,,,,,,,,,,,,,,,,,,
3/10/1997,,,,,,,,,,,,,,,,,,,,,,,
6/10/1997,,,,,,,,,,,,,,,,,,,,,,,
7/10/1997,,,,,,,,,,,,,,,,,,,,,,,
8/10/1997,,,,,,,,,,,,,,,,,,,,,,,
9/10/1997,,,,,,,,,,,,,,,,,,,,,,,
10/10/1997,,,,,,,,,,,,,,,,,,,,,,,
13/10/1997,,,,,,,,,,,,,,,,,,,,,,,
14/10/1997,,,,,,,,,,,,,,,,,,,,,,,
15/10/1997,,,,,,,,,,,,,,,,,,,,,,,
16/10/1997,,,,,,,,,,,,,,,,,,,,,,,
17/10/1997,,,,,,,,,,,,,,,,,,,,,,,
20/10/1997,,,,,,,,,,,,,,,,,,,,,,,
21/10/1997,,,,,,,,,,,,,,,,,,,,,,,
22/10/1997,,,,,,,,,,,,,,,,,,,,,,,
23/10/1997,,,,,,,,,,,,,,,,,,,,,,,
24/10/1997,,,,,,,,,,,,,,,,,,,,,,,
27/10/1997,,,,,,,,,,,,,,,,,,,,,,,
28/10/1997,,,,,,,,,,,,,,,,,,,,,,,
29/10/1997,,,,,,,,,,,,,,,,,,,,,,,
30/10/1997,,,,,,,,,,,,,,,,,,,,,,,
31/10/1997,,,,,,,,,,,,,,,,,,,,,,,
3/11/1997,,,,,,,,,,,,,,,,,,,,,,,
4/11/1997,,,,,,,,,,,,,,,,,,,,,,,
5/11/1997,,,,,,,,,,,,,,,,,,,,,,,
6/11/1997,,,,,,,,,,,,,,,,,,,,,,,
7/11/1997,,,,,,,,,,,,,,,,,,,,,,,
10/11/1997,,,,,,,,,,,,,,,,,,,,,,,
11/11/1997,,,,,,,,,,,,,,,,,,,,,,,
12/11/1997,,,,,,,,,,,,,,,,,,,,,,,
13/11/1997,,,,,,,,,,,,,,,,,,,,,,,
14/11/1997,,,,,,,,,,,,,,,,,,,,,,,
17/11/1997,,,,,,,,,,,,,,,,,,,,,,,
18/11/1997,,,,,,,,,,,,,,,,,,,,,,,
19/11/1997,,,,,,,,,,,,,,,,,,,,,,,
20/11/1997,,,,,,,,,,,,,,,,,,,,,,,
21/11/1997,,,,,,,,,,,,,,,,,,,,,,,
24/11/1997,,,,,,,,,,,,,,,,,,,,,,,
25/11/1997,,,,,,,,,,,,,,,,,,,,,,,
26/11/1997,,,,,,,,,,,,,,,,,,,,,,,
27/11/1997,,,,,,,,,,,,,,,,,,,,,,,
28/11/1997,,,,,,,,,,,,,,,,,,,,,,,
1/12/1997,,,,,,,,,,,,,,,,,,,,,,,
2/12/1997,,,,,,,,,,,,,,,,,,,,,,,
3/12/1997,,,,,,,,,,,,,,,,,,,,,,,
4/12/1997,,,,,,,,,,,,,,,,,,,,,,,
5/12/1997,,,,,,,,,,,,,,,,,,,,,,,
8/12/1997,,,,,,,,,,,,,,,,,,,,,,,
9/12/1997,,,,,,,,,,,,,,,,,,,,,,,
10/12/1997,,,,,,,,,,,,,,,,,,,,,,,
11/12/1997,,,,,,,,,,,,,,,,,,,,,,,
12/12/1997,,,,,,,,,,,,,,,,,,,,,,,
15/12/1997,,,,,,,,,,,,,,,,,,,,,,,
16/12/1997,,,,,,,,,,,,,,,,,,,,,,,
17/12/1997,,,,,,,,,,,,,,,,,,,,,,,
18/12/1997,,,,,,,,,,,,,,,,,,,,,,,
19/12/1997,,,,,,,,,,,,,,,,,,,,,,,
22/12/1997,,,,,,,,,,,,,,,,,,,,,,,
23/12/1997,,,,,,,,,,,,,,,,,,,,,,,
24/12/1997,,,,,,,,,,,,,,,,,,,,,,,
25/12/1997,,,,,,,,,,,,,,,,,,,,,,,
26/12/1997,,,,,,,,,,,,,,,,,,,,,,,
29/12/1997,,,,,,,,,,,,,,,,,,,,,,,
30/12/1997,,,,,,,,,,,,,,,,,,,,,,,
31/12/1997,,,,,,,,,,,,,,,,,,,,,,,
2/1/1998,,,,,,,,,,,,,,,,,,,,,,,
5/1/1998,,,,,,,,,,,,,,,,,,,,,,,
6/1/1998,,,,,,,,,,,,,,,,,,,,,,,
7/1/1998,,,,,,,,,,,,,,,,,,,,,,,
8/1/1998,,,,,,,,,,,,,,,,,,,,,,,
9/1/1998,,,,,,,,,,,,,,,,,,,,,,,
12/1/1998,,,,,,,,,,,,,,,,,,,,,,,
13/1/1998,,,,,,,,,,,,,,,,,,,,,,,
14/1/1998,,,,,,,,,,,,,,,,,,,,,,,
15/1/1998,,,,,,,,,,,,,,,,,,,,,,,
16/1/1998,,,,,,,,,,,,,,,,,,,,,,,
19/1/1998,,,,,,,,,,,,,,,,,,,,,,,
20/1/1998,,,,,,,,,,,,,,,,,,,,,,,
21/1/1998,,,,,,,,,,,,,,,,,,,,,,,
22/1/1998,,,,,,,,,,,,,,,,,,,,,,,
23/1/1998,,,,,,,,,,,,,,,,,,,,,,,
26/1/1998,,,,,,,,,,,,,,,,,,,,,,,
27/1/1998,,,,,,,,,,,,,,,,,,,,,,,
28/1/1998,,,,,,,,,,,,,,,,,,,,,,,
29/1/1998,,,,,,,,,,,,,,,,,,,,,,,
30/1/1998,,,,,,,,,,,,,,,,,,,,,,,
2/2/1998,,,,,,,,,,,,,,,,,,,,,,,
3/2/1998,,,,,,,,,,,,,,,,,,,,,,,
4/2/1998,,,,,,,,,,,,,,,,,,,,,,,
5/2/1998,,,,,,,,,,,,,,,,,,,,,,,
6/2/1998,,,,,,,,,,,,,,,,,,,,,,,
9/2/1998,,,,,,,,,,,,,,,,,,,,,,,
10/2/1998,,,,,,,,,,,,,,,,,,,,,,,
11/2/1998,,,,,,,,,,,,,,,,,,,,,,,
12/2/1998,,,,,,,,,,,,,,,,,,,,,,,
13/2/1998,,,,,,,,,,,,,,,,,,,,,,,
16/2/1998,,,,,,,,,,,,,,,,,,,,,,,
17/2/1998,,,,,,,,,,,,,,,,,,,,,,,
18/2/1998,,,,,,,,,,,,,,,,,,,,,,,
19/2/1998,,,,,,,,,,,,,,,,,,,,,,,
20/2/1998,,,,,,,,,,,,,,,,,,,,,,,
23/2/1998,,,,,,,,,,,,,,,,,,,,,,,
24/2/1998,,,,,,,,,,,,,,,,,,,,,,,
25/2/1998,,,,,,,,,,,,,,,,,,,,,,,
26/2/1998,,,,,,,,,,,,,,,,,,,,,,,
27/2/1998,,,,,,,,,,,,,,,,,,,,,,,
2/3/1998,,,,,,,,,,,,,,,,,,,,,,,
3/3/1998,,,,,,,,,,,,,,,,,,,,,,,
4/3/1998,,,,,,,,,,,,,,,,,,,,,,,
5/3/1998,,,,,,,,,,,,,,,,,,,,,,,
6/3/1998,,,,,,,,,,,,,,,,,,,,,,,
9/3/1998,,,,,,,,,,,,,,,,,,,,,,,
10/3/1998,,,,,,,,,,,,,,,,,,,,,,,
